"SeasonYear"	"Region"	"RainPH"	"Air_humidity_%"	"Temperature_C"	"Temperature_CAT"	"Locality"	"RainVolume_mm/h"	"WindIntensity_km/h"	"WindIntensity_CAT"	"CivilDefenseWarn"	"RainPH_Cat"	"RainIntensity"
String	String	Integer	Double	Integer	String	String	Integer	Integer	String	String	String	String
"Summer"	"Southeast"	4	28.793947256462808	16	"Medium"	"Urban"	5	87	"Massive"	"Activated"	"Acidic"	"Moderate"
"Autumn"	"North"	11	11.477243510364264	32	"High"	"Rural"	12	16	"Moderate"	"Non-Activated"	"Base"	"Moderate"
"Autumn"	"Midwest"	5	42.14040375483279	25	"High"	"Urban"	10	6	"Moderate"	"Non-Activated"	"Acidic"	"Moderate"
"Autumn"	"Midwest"	4	43.22191231751199	27	"High"	"Rural"	11	1	"Moderate"	"Non-Activated"	"Acidic"	"Moderate"
"Summer"	"Southeast"	4	32.27068015114713	18	"Medium"	"Urban"	7	71	"Very Strong"	"Non-Activated"	"Acidic"	"Moderate"
"Autumn"	"North"	12	12.383304406738189	-4	"Low"	"Rural"	24	2	"Moderate"	"Non-Activated"	"Base"	"Moderate"
"Autumn"	"Northeast"	6	67.78431211488842	2	"Medium"	"Urban"	26	118	"Hurricane"	"Non-Activated"	"Acidic"	"Strong"
"Spring"	"South"	1	3.9479641801072898	33	"High"	"Rural"	23	106	"Massive"	"Non-Activated"	"Acidic"	"Moderate"
"Autumn"	"North"	12	11.198910671781203	-4	"Low"	"Urban"	13	22	"Strong"	"Non-Activated"	"Base"	"Moderate"
"Summer"	"Northeast"	7	65.6863022163582	1	"Medium"	"Urban"	29	18	"Moderate"	"Non-Activated"	"Neutral"	"Strong"
"Winter"	"South"	2	3.4055975321373744	34	"High"	"Urban"	23	99	"Massive"	"Non-Activated"	"Acidic"	"Moderate"
"Autumn"	"North"	11	18.059854936751066	-6	"Low"	"Rural"	13	118	"Hurricane"	"Non-Activated"	"Base"	"Moderate"
"Summer"	"Midwest"	4	44.64094027228894	28	"High"	"Urban"	10	7	"Moderate"	"Non-Activated"	"Acidic"	"Moderate"
"Spring"	"Midwest"	6	42.68055493228732	21	"High"	"Rural"	10	19	"Moderate"	"Non-Activated"	"Acidic"	"Moderate"
"Summer"	"South"	0	61.018744072440214	31	"High"	"Urban"	20	108	"Massive"	"Non-Activated"	"Acidic"	"Moderate"
"Autumn"	"Northeast"	8	60.434098187730605	7	"Medium"	"Urban"	25	38	"Strong"	"Non-Activated"	"Base"	"Moderate"
"Winter"	"Southeast"	4	25.492537323414876	15	"Medium"	"Rural"	9	75	"Very Strong"	"Non-Activated"	"Acidic"	"Moderate"
"Spring"	"Midwest"	4	41.17193214550744	23	"High"	"Urban"	11	16	"Moderate"	"Non-Activated"	"Acidic"	"Moderate"
Summer	North	7	15.835864837003026	24	High	Rural	12	16	Moderate	Non-Activated	Neutral	Moderate
Autumn	North	7	12.1421923243674	-8	Low	Rural	30	1	Moderate	Non-Activated	Neutral	Moderate
"Summer"	"Midwest"	4	44.62650114345729	24	"High"	"Urban"	11	14	"Moderate"	"Non-Activated"	"Acidic"	"Moderate"
"Autumn"	"North"	12	16.25106749309383	32	"High"	"Rural"	13	121	"Hurricane"	"Non-Activated"	"Base"	"Moderate"
"Spring"	"Midwest"	4	42.942092336775616	24	"High"	"Rural"	11	13	"Moderate"	"Non-Activated"	"Acidic"	"Moderate"
"Spring"	"Southeast"	3	31.373742141624295	17	"Medium"	"Urban"	1	71	"Very Strong"	"Non-Activated"	"Acidic"	"Very Strong"
"Autumn"	"Northeast"	7	69.43737528479791	1	"Medium"	"Urban"	26	27	"Strong"	"Non-Activated"	"Neutral"	"Strong"
"Autumn"	"Northeast"	6	63.21794506774238	9	"Medium"	"Urban"	28	25	"Strong"	"Non-Activated"	"Acidic"	"Strong"
"Winter"	"North"	12	17.294331683954145	-12	"Low"	"Urban"	25	6	"Moderate"	"Non-Activated"	"Base"	"Moderate"
"Spring"	"Southeast"	4	33.17102422902323	19	"Medium"	"Rural"	27	86	"Massive"	"Non-Activated"	"Acidic"	"Strong"
"Autumn"	"Northeast"	8	69.26435828659517	6	"Medium"	"Urban"	29	21	"Strong"	"Non-Activated"	"Base"	"Strong"
"Winter"	"North"	9	15.915944413212609	-4	"Low"	"Rural"	24	19	"Moderate"	"Non-Activated"	"Base"	"Moderate"
"Autumn"	"Northeast"	7	68.91804968255573	3	"Medium"	"Urban"	28	33	"Strong"	"Non-Activated"	"Neutral"	"Strong"
"Autumn"	"North"	9	10.82114177210421	-7	"Low"	"Rural"	12	116	"Massive"	"Non-Activated"	"Base"	"Moderate"
"Autumn"	"Northeast"	8	60.43926592800545	1	"Medium"	"Urban"	29	6	"Moderate"	"Non-Activated"	"Base"	"Strong"
"Summer"	"North"	7	30.790024421772003	19	"Medium"	"Rural"	3	73	"Very Strong"	"Non-Activated"	"Neutral"	"Very Strong"
"Autumn"	"Northeast"	7	60.31539718667542	4	"Medium"	"Urban"	29	19	"Moderate"	"Non-Activated"	"Neutral"	"Strong"
"Winter"	"Southeast"	4	34.06597092963845	19	"Medium"	"Urban"	6	72	"Very Strong"	"Non-Activated"	"Acidic"	"Moderate"
"Summer"	"Midwest"	5	42.18576614779978	28	"High"	"Rural"	10	17	"Moderate"	"Non-Activated"	"Acidic"	"Moderate"
"Spring"	"Southeast"	12	30.1889006637437	18	"Medium"	"Rural"	26	78	"Very Strong"	"Non-Activated"	"Base"	"Strong"
"Winter"	"North"	7	27.220470315995072	16	"Medium"	"Urban"	3	88	"Massive"	"Activated"	"Neutral"	"Strong"
"Summer"	"South"	2	1.2233046953540088	28	"High"	"Urban"	21	98	"Massive"	"Non-Activated"	"Acidic"	"Moderate"
"Autumn"	"South"	1	61.018744072440214	34	"High"	"Urban"	24	13	"Moderate"	"Non-Activated"	"Acidic"	"Moderate"
"Winter"	"Midwest"	5	44.90518869076633	22	"High"	"Urban"	10	2	"Moderate"	"Non-Activated"	"Acidic"	"Moderate"
Winter	North	7	13.294467044111883	-14	Low	Rural	25	105	Massive	Non-Activated	Neutral	Moderate
"Winter"	"Northeast"	6	66.65190126974571	2	"Medium"	"Urban"	27	3	"Moderate"	"Non-Activated"	"Acidic"	"Strong"
"Autumn"	"Midwest"	5	42.427281567723824	25	"High"	"Urban"	11	18	"Moderate"	"Non-Activated"	"Acidic"	"Moderate"
"Autumn"	"Southeast"	2	29.626136698186205	17	"Medium"	"Urban"	2	81	"Massive"	"Activated"	"Acidic"	"Moderate"
"Autumn"	"Midwest"	12	41.96708318651971	21	"High"	"Rural"	10	19	"Moderate"	"Non-Activated"	"Base"	"Moderate"
"Winter"	"Northeast"	7	65.25980140767155	6	"Medium"	"Urban"	27	27	"Strong"	"Non-Activated"	"Neutral"	"Strong"
"Winter"	"North"	13	15.288957171367372	-10	"Low"	"Rural"	25	4	"Moderate"	"Non-Activated"	"Base"	"Moderate"
"Summer"	"Southeast"	3	28.224883884489124	18	"Medium"	"Urban"	6	74	"Very Strong"	"Non-Activated"	"Acidic"	"Moderate"
"Autumn"	"Northeast"	7	65.51387329540447	9	"Medium"	"Urban"	28	35	"Strong"	"Non-Activated"	"Neutral"	"Strong"
"Autumn"	"Northeast"	6	68.47866957858565	5	"Medium"	"Urban"	25	32	"Strong"	"Non-Activated"	"Acidic"	"Moderate"
"Winter"	"Southeast"	2	31.575777141791367	18	"Medium"	"Urban"	26	78	"Very Strong"	"Non-Activated"	"Acidic"	"Strong"
"Autumn"	"South"	2	61.018744072440214	29	"High"	"Rural"	20	98	"Massive"	"Non-Activated"	"Acidic"	"Moderate"
"Summer"	"North"	12	15.949476477947371	22	"High"	"Urban"	13	15	"Moderate"	"Non-Activated"	"Base"	"Moderate"
"Winter"	"North"	12	14.599321020542186	28	"High"	"Rural"	13	10	"Moderate"	"Non-Activated"	"Base"	"Moderate"
"Winter"	"Midwest"	6	43.89105426797613	26	"High"	"Urban"	11	4	"Moderate"	"Non-Activated"	"Acidic"	"Moderate"
"Winter"	"North"	13	10.202739703712176	26	"High"	"Rural"	13	27	"Strong"	"Non-Activated"	"Base"	"Moderate"
"Autumn"	"North"	13	15.772875176688082	-12	"Low"	"Rural"	25	19	"Moderate"	"Non-Activated"	"Base"	"Moderate"
"Autumn"	"South"	0	74.4687539822747935	29	"High"	"Rural"	20	31	"Strong"	"Non-Activated"	"Acidic"	"Moderate"
"Autumn"	"South"	1	61.018744072440214	32	"High"	"Rural"	23	109	"Massive"	"Non-Activated"	"Acidic"	"Moderate"
"Autumn"	"Southeast"	2	33.05809296676343	15	"Medium"	"Rural"	3	71	"Very Strong"	"Non-Activated"	"Acidic"	"Moderate"
Winter	Northeast	7	63.87198053	6	Medium	Rural	25	80	Very Strong	Non-Activated	Neutral	Moderate
"Spring"	"Midwest"	4	42.939426403414075	23	"High"	"Rural"	11	13	"Moderate"	"Non-Activated"	"Acidic"	"Moderate"
"Autumn"	"South"	0	4.9419717028966605	31	"High"	"Rural"	21	102	"Massive"	"Activated"	"Acidic"	"Moderate"
"Summer"	"Midwest"	5	41.4405603238192	21	"High"	"Urban"	11	3	"Moderate"	"Non-Activated"	"Acidic"	"Moderate"
"Spring"	"Southeast"	4	28.469348598113235	15	"Medium"	"Rural"	7	96	"Massive"	"Non-Activated"	"Acidic"	"Moderate"
"Winter"	"South"	1	61.018744072440214	34	"High"	"Urban"	20	112	"Massive"	"Non-Activated"	"Acidic"	"Moderate"
"Summer"	"Southeast"	10	30.424712022803554	15	"Medium"	"Urban"	8	88	"Massive"	"Non-Activated"	"Base"	"Moderate"
"Spring"	"Southeast"	4	29.94404976384766	19	"Medium"	"Rural"	2	84	"Massive"	"Non-Activated"	"Acidic"	"Moderate"
"Spring"	"Northeast"	8	60.27300327450535	0	"Low"	"Urban"	25	4	"Moderate"	"Non-Activated"	"Base"	"Moderate"
"Winter"	"South"	13	61.018744072440214	29	"High"	"Rural"	21	98	"Massive"	"Activated"	"Base"	"Moderate"
"Autumn"	"Northeast"	6	64.76042131472832	1	"Medium"	"Urban"	27	19	"Moderate"	"Non-Activated"	"Acidic"	"Strong"
"Winter"	"Northeast"	7	60.90223131858651	9	"Medium"	"Urban"	25	11	"Moderate"	"Non-Activated"	"Neutral"	"Moderate"
"Winter"	"Northeast"	7	63.00687337963011	3	"Medium"	"Urban"	25	28	"Strong"	"Non-Activated"	"Neutral"	"Moderate"
"Spring"	"Midwest"	6	41.06199643161852	24	"High"	"Rural"	10	9	"Moderate"	"Non-Activated"	"Acidic"	"Moderate"
Autumn	Northeast	8	66.34922119	5	Medium	Rural	29	75	Very Strong	Non-Activated	Base	Strong
"Autumn"	"Northeast"	6	60.81175927081152	6	"Medium"	"Urban"	29	8	"Moderate"	"Non-Activated"	"Acidic"	"Strong"
Spring	Northeast	7	61.13409174	0	Low	Rural	29	70	Very Strong	Non-Activated	Neutral	Strong
"Summer"	"Southeast"	3	26.124326407359582	16	"Medium"	"Urban"	23	86	"Massive"	"Non-Activated"	"Acidic"	"Moderate"
"Summer"	"North"	2	31.239941510019296	18	"Medium"	"Urban"	26	98	"Massive"	"Non-Activated"	"Acidic"	"Strong"
"Autumn"	"Southeast"	4	30.086074488945194	15	"Medium"	"Urban"	5	71	"Very Strong"	"Non-Activated"	"Acidic"	"Moderate"
"Spring"	"North"	7	27.870570090149688	15	"Medium"	"Rural"	3	76	"Very Strong"	"Non-Activated"	"Neutral"	"Strong"
"Spring"	"Southeast"	2	33.27255377487903	17	"Medium"	"Rural"	21	99	"Massive"	"Non-Activated"	"Acidic"	"Moderate"
Winter	Northeast	7	61.01874407	2	Medium	Rural	25	65	Very Strong	Non-Activated	Neutral	Moderate
Summer	North	9	15.41982043	-7	Low	Rural	12	127	Hurricane	Activated	Base	Moderate
"Winter"	"Southeast"	2	29.18095059914883	19	"Medium"	"Urban"	5	99	"Massive"	"Non-Activated"	"Acidic"	"Moderate"
"Summer"	"South"	0	3.1271161611628644	27	"High"	"Urban"	21	31	"Strong"	"Non-Activated"	"Acidic"	"Moderate"
"Summer"	"North"	12	14.450212893159229	-10	"Low"	"Rural"	25	27	"Strong"	"Non-Activated"	"Base"	"Moderate"
"Summer"	"Southeast"	3	29.664976819373987	16	"Medium"	"Urban"	2	87	"Massive"	"Activated"	"Acidic"	"Very Strong"
"Spring"	"Southeast"	2	28.401732711809714	15	"Medium"	"Rural"	6	75	"Very Strong"	"Non-Activated"	"Acidic"	"Moderate"
"Autumn"	"North"	12	12.66812598665803	29	"High"	"Rural"	13	15	"Moderate"	"Non-Activated"	"Base"	"Moderate"
"Autumn"	"South"	1	1.0361343226358937	26	"High"	"Rural"	24	94	"Massive"	"Activated"	"Acidic"	"Moderate"
"Autumn"	"North"	9	16.33215626702239	-13	"Low"	"Rural"	13	21	"Strong"	"Non-Activated"	"Base"	"Moderate"
"Summer"	"Midwest"	4	41.8204105834365	23	"High"	"Urban"	11	1	"Moderate"	"Non-Activated"	"Acidic"	"Moderate"
"Autumn"	"Southeast"	3	34.830509994879804	15	"Medium"	"Urban"	4	83	"Massive"	"Activated"	"Acidic"	"Moderate"
"Winter"	"North"	12	16.990364619681788	-13	"Low"	"Rural"	25	24	"Strong"	"Non-Activated"	"Base"	"Moderate"
"Winter"	"South"	1	3.7908766319316696	29	"High"	"Rural"	22	113	"Massive"	"Non-Activated"	"Acidic"	"Moderate"
Summer	Northeast	6	65.64966765	8	Medium	Rural	25	60	Very Strong	Non-Activated	Acidic	Moderate
"Spring"	"North"	10	10.170943576623717	-5	"Low"	"Rural"	13	9	"Moderate"	"Non-Activated"	"Base"	"Moderate"
"Autumn"	"Northeast"	8	67.94169156535547	4	"Medium"	"Urban"	27	12	"Moderate"	"Non-Activated"	"Base"	"Strong"
Winter	Northeast	8	61.30958088	-10	Low	Rural	28	75	Very Strong	Non-Activated	Base	Strong
"Spring"	"North"	10	18.04321628223704	-10	"Low"	"Urban"	12	105	"Massive"	"Non-Activated"	"Base"	"Moderate"
"Spring"	"South"	0	2.0732417369280407	26	"High"	"Rural"	21	105	"Massive"	"Non-Activated"	"Acidic"	"Moderate"
"Spring"	"Midwest"	5	41.25865540941168	28	"High"	"Rural"	11	7	"Moderate"	"Non-Activated"	"Acidic"	"Moderate"
"Spring"	"Midwest"	4	43.20480414769335	27	"High"	"Rural"	10	3	"Moderate"	"Non-Activated"	"Acidic"	"Moderate"
"Winter"	"Midwest"	5	40.66108237295967	22	"High"	"Rural"	11	9	"Moderate"	"Non-Activated"	"Acidic"	"Moderate"
"Summer"	"Midwest"	6	43.57924385278104	21	"High"	"Urban"	11	13	"Moderate"	"Non-Activated"	"Acidic"	"Moderate"
"Autumn"	"South"	13	2.185001645627062	34	"High"	"Rural"	20	102	"Massive"	"Activated"	"Base"	"Moderate"
Winter	North	7	18.59120671461936	-10	Low	Rural	12	16	Moderate	Non-Activated	Neutral	Moderate
"Autumn"	"Southeast"	11	27.873557048251737	16	"Medium"	"Urban"	25	92	"Massive"	"Non-Activated"	"Base"	"Moderate"
"Autumn"	"Northeast"	8	64.12493656839588	5	"Medium"	"Urban"	27	30	"Strong"	"Non-Activated"	"Base"	"Strong"
"Spring"	"Southeast"	4	25.5089237892716	17	"Medium"	"Urban"	7	78	"Very Strong"	"Non-Activated"	"Acidic"	"Moderate"
"Winter"	"Southeast"	3	31.53355814127051	17	"Medium"	"Rural"	26	80	"Very Strong"	"Non-Activated"	"Acidic"	"Strong"
"Winter"	"Northeast"	8	69.53773624365193	7	"Medium"	"Urban"	25	7	"Moderate"	"Non-Activated"	"Base"	"Moderate"
"Autumn"	"Northeast"	7	62.49239892796222	1	"Medium"	"Urban"	25	34	"Strong"	"Non-Activated"	"Neutral"	"Moderate"
"Autumn"	"Southeast"	4	27.10521404972221	15	"Medium"	"Rural"	2	86	"Massive"	"Non-Activated"	"Acidic"	"Moderate"
"Spring"	"North"	9	14.06021397290657	-13	"Low"	"Rural"	13	9	"Moderate"	"Non-Activated"	"Base"	"Moderate"
"Autumn"	"Northeast"	7	64.50415679761613	1	"Medium"	"Urban"	26	7	"Moderate"	"Non-Activated"	"Neutral"	"Strong"
"Autumn"	"North"	12	10.66295282917653	-15	"Low"	"Urban"	12	118	"Hurricane"	"Non-Activated"	"Base"	"Moderate"
"Spring"	"North"	13	10.121067940126798	50	"High"	"Urban"	12	3	"Moderate"	"Non-Activated"	"Base"	"Moderate"
"Autumn"	"Midwest"	5	43.132741563091265	21	"High"	"Rural"	11	2	"Moderate"	"Non-Activated"	"Acidic"	"Moderate"
"Winter"	"Southeast"	4	29.95245862628615	18	"Medium"	"Rural"	7	96	"Massive"	"Non-Activated"	"Acidic"	"Moderate"
"Autumn"	"Southeast"	3	25.459742616702354	17	"Medium"	"Urban"	1	70	"Very Strong"	"Non-Activated"	"Acidic"	"Strong"
"Winter"	"South"	0	4.203828055690302	27	"High"	"Urban"	23	115	"Massive"	"Non-Activated"	"Acidic"	"Moderate"
"Autumn"	"Northeast"	7	66.3848130697817	9	"Medium"	"Urban"	25	6	"Moderate"	"Non-Activated"	"Neutral"	"Moderate"
"Spring"	"North"	11	11.726402168278325	40	"High"	"Urban"	25	13	"Moderate"	"Non-Activated"	"Base"	"Moderate"
"Summer"	"North"	9	14.409222753737907	25	"High"	"Rural"	12	16	"Moderate"	"Non-Activated"	"Base"	"Moderate"
"Summer"	"Southeast"	3	27.514024819918312	15	"Medium"	"Urban"	4	97	"Massive"	"Non-Activated"	"Acidic"	"Very Strong"
"Autumn"	"Southeast"	2	26.35572799422873	15	"Medium"	"Urban"	9	97	"Massive"	"Non-Activated"	"Acidic"	"Moderate"
Winter	North	7	15.858662889847858	-4	Low	Rural	13	106	Massive	Non-Activated	Neutral	Moderate
"Winter"	"North"	12	17.185584440746332	23	"High"	"Rural"	12	28	"Strong"	"Non-Activated"	"Base"	"Moderate"
"Spring"	"North"	12	19.074271516995818	-5	"Low"	"Urban"	25	3	"Moderate"	"Non-Activated"	"Base"	"Moderate"
"Winter"	"South"	2	3.029232786325797	33	"High"	"Rural"	20	104	"Massive"	"Non-Activated"	"Acidic"	"Moderate"
"Winter"	"Southeast"	12	30.935166606802056	17	"Medium"	"Urban"	6	97	"Massive"	"Non-Activated"	"Base"	"Moderate"
"Spring"	"South"	0	3.140941405735413	33	"High"	"Rural"	22	95	"Massive"	"Non-Activated"	"Acidic"	"Moderate"
Summer	North	14	15.25223582	20	Medium	Rural	4	127	Hurricane	Activated	Base	Moderate
"Winter"	"Northeast"	8	61.30958087838725	0	"Low"	"Rural"	28	55	"Strong"	"Non-Activated"	"Base"	"Strong"
"Autumn"	"South"	1	1.9066799506647847	27	"High"	"Rural"	24	107	"Massive"	"Non-Activated"	"Acidic"	"Moderate"
"Summer"	"North"	10	16.139727340408143	22	"High"	"Urban"	12	23	"Strong"	"Non-Activated"	"Base"	"Moderate"
"Autumn"	"North"	9	12.354472186353291	-11	"Low"	"Rural"	12	10	"Moderate"	"Non-Activated"	"Base"	"Moderate"
"Autumn"	"North"	12	10.034536271030683	-9	"Low"	"Rural"	13	7	"Moderate"	"Non-Activated"	"Base"	"Moderate"
"Autumn"	"South"	1	1.2203902459069678	30	"High"	"Rural"	22	21	"Strong"	"Non-Activated"	"Acidic"	"Moderate"
"Spring"	"Northeast"	7	67.86707251952673	5	"Medium"	"Urban"	29	37	"Strong"	"Non-Activated"	"Neutral"	"Strong"
Summer	Northeast	6	62.08600661	9	Medium	Rural	29	50	Strong	Non-Activated	Acidic	Strong
"Spring"	"North"	11	14.827920382253456	-10	"Low"	"Urban"	12	1	"Moderate"	"Non-Activated"	"Base"	"Moderate"
"Summer"	"Midwest"	5	40.126000333612595	22	"High"	"Urban"	11	15	"Moderate"	"Non-Activated"	"Acidic"	"Moderate"
"Summer"	"South"	0	2.3031407062088	31	"High"	"Urban"	21	109	"Massive"	"Non-Activated"	"Acidic"	"Moderate"
Winter	Northeast	7	60.90496601	3	Medium	Rural	26	45	Strong	Non-Activated	Neutral	Strong
"Summer"	"Southeast"	4	31.692547721495707	15	"Medium"	"Urban"	2	84	"Massive"	"Non-Activated"	"Acidic"	"Very Strong"
"Summer"	"Northeast"	7	66.49738756327132	9	"Medium"	"Urban"	27	27	"Strong"	"Non-Activated"	"Neutral"	"Strong"
"Spring"	"Midwest"	4	40.82743415421494	21	"High"	"Rural"	11	16	"Moderate"	"Non-Activated"	"Acidic"	"Moderate"
"Spring"	"Southeast"	2	30.735251464159795	16	"Medium"	"Rural"	9	82	"Massive"	"Non-Activated"	"Acidic"	"Moderate"
"Autumn"	"North"	9	14.019661551194616	24	"High"	"Urban"	12	127	"Hurricane"	"Non-Activated"	"Base"	"Moderate"
Spring	Northeast	7	60.54576337	3	Medium	Rural	27	40	Strong	Non-Activated	Neutral	Strong
"Winter"	"Southeast"	3	33.76345624776545	17	"Medium"	"Rural"	22	80	"Very Strong"	"Non-Activated"	"Acidic"	"Moderate"
"Winter"	"Northeast"	8	67.67237902371565	9	"Medium"	"Urban"	25	17	"Moderate"	"Non-Activated"	"Base"	"Moderate"
"Autumn"	"North"	9	18.538088090883775	-12	"Low"	"Rural"	13	20	"Moderate"	"Non-Activated"	"Base"	"Moderate"
"Summer"	"Southeast"	2	33.430837466977934	17	"Medium"	"Rural"	2	95	"Massive"	"Non-Activated"	"Acidic"	"Moderate"
"Autumn"	"Northeast"	8	68.9450931034588	4	"Medium"	"Urban"	25	2	"Moderate"	"Non-Activated"	"Base"	"Moderate"
"Winter"	"Northeast"	6	69.27286321625031	2	"Medium"	"Urban"	29	9	"Moderate"	"Non-Activated"	"Acidic"	"Strong"
Autumn	North	7	17.092405543349283	-3	Low	Urban	12	121	Hurricane	Activated	Neutral	Moderate
"Spring"	"North"	13	19.666783187320274	-14	"Low"	"Urban"	12	1	"Moderate"	"Non-Activated"	"Base"	"Moderate"
"Autumn"	"North"	11	18.253778402993227	-6	"Low"	"Urban"	13	16	"Moderate"	"Non-Activated"	"Base"	"Moderate"
"Spring"	"South"	0	3.9678165378287478	29	"High"	"Rural"	24	112	"Massive"	"Non-Activated"	"Acidic"	"Moderate"
"Summer"	"Southeast"	4	31.64500356585732	16	"Medium"	"Urban"	4	88	"Massive"	"Activated"	"Acidic"	"Moderate"
"Autumn"	"North"	10	10.284822874487014	-13	"Low"	"Rural"	12	7	"Moderate"	"Non-Activated"	"Base"	"Moderate"
"Winter"	"Southeast"	12	33.309510414924894	18	"Medium"	"Urban"	26	75	"Very Strong"	"Non-Activated"	"Base"	"Strong"
"Winter"	"Midwest"	6	42.59351452487601	27	"High"	"Urban"	11	15	"Moderate"	"Non-Activated"	"Acidic"	"Moderate"
"Autumn"	"Southeast"	3	27.84548697534499	16	"Medium"	"Urban"	29	85	"Massive"	"Non-Activated"	"Acidic"	"Strong"
"Winter"	"Southeast"	4	26.2973782450741	17	"Medium"	"Urban"	7	92	"Massive"	"Activated"	"Acidic"	"Moderate"
Winter	Northeast	6	67.31577457	1	Medium	Rural	29	35	Strong	Non-Activated	Acidic	Strong
"Summer"	"North"	10	13.141845117522681	31	"High"	"Urban"	13	7	"Moderate"	"Non-Activated"	"Base"	"Moderate"
"Spring"	"Midwest"	6	43.44454029103885	25	"High"	"Rural"	10	4	"Moderate"	"Non-Activated"	"Acidic"	"Moderate"
"Summer"	"Northeast"	6	64.70175533186615	4	"Medium"	"Urban"	29	36	"Strong"	"Non-Activated"	"Acidic"	"Strong"
"Autumn"	"Southeast"	2	29.207019461571207	19	"Medium"	"Urban"	8	71	"Very Strong"	"Non-Activated"	"Acidic"	"Moderate"
"Winter"	"Midwest"	6	44.63140924147796	23	"High"	"Urban"	11	114	"Massive"	"Activated"	"Acidic"	"Moderate"
"Winter"	"South"	0	1.6013858606880254	30	"High"	"Urban"	23	108	"Massive"	"Activated"	"Acidic"	"Moderate"
"Spring"	"North"	2	13.45512338198736	-13	"Low"	"Urban"	25	1	"Moderate"	"Non-Activated"	"Acidic"	"Moderate"
"Summer"	"Southeast"	4	28.11496174348664	17	"Medium"	"Urban"	6	91	"Massive"	"Non-Activated"	"Acidic"	"Moderate"
"Summer"	"North"	9	19.708568692544368	-7	"Low"	"Rural"	13	7	"Moderate"	"Non-Activated"	"Base"	"Moderate"
"Autumn"	"Midwest"	5	43.03079251820507	26	"High"	"Urban"	10	17	"Moderate"	"Non-Activated"	"Acidic"	"Moderate"
"Summer"	"South"	1	2.4391167615942164	32	"High"	"Urban"	20	105	"Massive"	"Non-Activated"	"Acidic"	"Moderate"
"Summer"	"Midwest"	12	43.39886842081862	28	"High"	"Urban"	11	5	"Moderate"	"Non-Activated"	"Base"	"Moderate"
"Winter"	"Northeast"	7	65.5698430202373	2	"Medium"	"Urban"	26	10	"Moderate"	"Non-Activated"	"Neutral"	"Strong"
"Winter"	"Northeast"	6	68.75626977723367	4	"Medium"	"Urban"	25	33	"Strong"	"Non-Activated"	"Acidic"	"Moderate"
"Spring"	"South"	1	4.137964388999538	26	"High"	"Rural"	23	106	"Massive"	"Non-Activated"	"Acidic"	"Moderate"
"Summer"	"South"	2	3.649836533243323	29	"High"	"Urban"	22	98	"Massive"	"Non-Activated"	"Acidic"	"Moderate"
"Autumn"	"Southeast"	3	30.650828923231316	17	"Medium"	"Urban"	8	70	"Very Strong"	"Non-Activated"	"Acidic"	"Moderate"
"Autumn"	"Midwest"	6	41.42073290832552	28	"High"	"Urban"	10	17	"Moderate"	"Non-Activated"	"Acidic"	"Moderate"
"Spring"	"Southeast"	3	28.306556825703563	18	"Medium"	"Rural"	26	92	"Massive"	"Non-Activated"	"Acidic"	"Strong"
Autumn	Northeast	6	66.89576442	8	Medium	Rural	27	30	Strong	Non-Activated	Acidic	Strong
"Winter"	"Midwest"	4	43.02140191804796	20	"Medium"	"Rural"	11	18	"Moderate"	"Non-Activated"	"Acidic"	"Moderate"
"Autumn"	"North"	10	15.554844524750088	-6	"Low"	"Rural"	12	6	"Moderate"	"Non-Activated"	"Base"	"Moderate"
"Spring"	"South"	14	4.722996388808994	30	"High"	"Urban"	22	116	"Massive"	"Activated"	"Base"	"Moderate"
"Autumn"	"Midwest"	5	44.08782652011772	28	"High"	"Rural"	11	3	"Moderate"	"Non-Activated"	"Acidic"	"Moderate"
"Winter"	"Northeast"	8	67.66052297132092	9	"Medium"	"Urban"	27	35	"Strong"	"Non-Activated"	"Base"	"Strong"
"Spring"	"Midwest"	6	44.19652323875518	25	"High"	"Rural"	10	9	"Moderate"	"Non-Activated"	"Acidic"	"Moderate"
"Winter"	"South"	1	2.7988898757415077	33	"High"	"Rural"	23	108	"Massive"	"Non-Activated"	"Acidic"	"Moderate"
"Autumn"	"South"	2	2.8875107957496873	26	"High"	"Rural"	24	115	"Massive"	"Activated"	"Acidic"	"Moderate"